Seq 1,Seq 2,Author Last Name,Title,Date Published,Seq 3,Seq 4,Brief Description,Seq 5,Empty 1,,Storage,Publication Place,Empty 2,Edition,Seq 7,Seq 8,Binding Size Pagination,Content,Provenance,Notes,Empty 3,Author,Condition,Boolean 1,Boolean 2,Date Acquired,Another Date,Stuff 1,Empty 4,Place,Empty 5,Empty 6,Seq 9
4547,2155,Solar energy,Un procedimiento para el aprovechamiento industrial de la energia calorifica de losv rayos solares,1934,6,30,Solar energy,5,,4,Archive,Barcelona,,0,177,15,"Printed wrap(with typescript entries), stapled, 23.5 x 34 cm, typescript letter, printed folio document with handwritten annotations, 9 leaves typescript, 2 sheets blueprint sketches",,Rovito,Patent submission,,Solar energy,Very good,Yes,,2/24/2019,,,,Box 13 Misc flat,,,0
4548,2156,Brymbo Water Company,Indenture,1889,6,26,Water rights,13,,4,Archive,London,,0,177,1,"Manuscript on paper, 34 x 42 cm, 7 sheets recto only except for occassional notes verso, pinned in upper corner",,,"Draft indenture withcorrections, additons, not executed",,Brymbo Water Company,Very good,Yes,,2/24/2019,,,,Box 13 Misc flat,,,0
4550,2157,"Hering, Rudolph",Corespondance regarding water supply reports,1904,6,26,New York water supply,3,,4,Archive,New York,,0,177,1,"Typescript letter, 21 x 28 cm, 2 sheets",,Katz,,,"Hering, Rudolph",Good,Yes,,2/24/2019,,,,Box H,,,0
4551,2158,Sewer Pipe,Akron Ohio Sewer Pipe,1915,6,55,Sewer pipes,17,,7,Library,Boston,,0,1991,1,"Printed wrap, 9.5 x 15 cm, 16 pgs",,Katz,,,Sewer Pipe,Very good,Yes,,2/24/2019,,,,Trade cat box,,,0
4552,2159,Sewer Pipe,Sewer Pipe,1925,6,55,sewer pipes,17,,7,Archive,Newark,,0,1992,1,"Printed sheet, folded to 9 x 23 cm, recto verso",,,,,Sewer Pipe,Good,Yes,,2/24/2019,,,,Trade cat box,,,0
4553,2160,"Machine model; Voigt, Gustav",Eccentric wheel and hub; Reuleaux Kinematic Model manufactured by Gustav Voigt,1900c,6,72,Kinematic model,8,,4,Archive,Berlin,,0,1993,8,"Metal and wood base, 19 x 29 cm, with steel and brass cam and wheel (dia 15 cm), with supports, shaft, crank handle and articulated arm, overall height 21 cm; metal name plate (6 x 2 cm) on base; small plastic inventory label (MC3802)",,MacDonald,"Label on base: GUSTAV VOIGT
Mechanische Werkstatt für
wissenschaftliche Modelle und Maschinen
BERLIN, S.W. Neuenburgerstr. 12.",,Machine model,Good,,,2/24/2019,2/22/2020,,,Instrument cabinet,,,0
4555,2161,"Machine model; Voigt, Gustav",Gear teeth model; Reuleaux Kinematic Model manufactured by Gustav Voigt,1900c,6,72,Kin,8,,4,Archive,Berlin,,0,1993,8,"Metal and wood base, 24 x 21 cm, overall height 42 cm, steel and base supports, gear teeth, ratchet with shaft and crank, transfer wheels with spring steel straps and various adjustment arms and knobs; metal name plate (6 x 2 cm) on base; small plastic inventory label on base (MC3804)",,MacDonald,"Label on base: GUSTAV VOIGT
Mechanische Werkstatt für
wissenschaftliche Modelle und Maschinen
BERLIN, S.W. Neuenburgerstr. 12.",,,Very good,Yes,,2/24/2019,5/30/2020,,,Machine model,,,0
4556,2162,"Serena, Augusto",Il canale della Brentella e le nuove opere di presa e di derivazione nel quinto secolo dagli inizi : cronistoria - descrizione tecnica - ordinamento,1929,6,107,Brenta River,11,,1,Library,Treviso,,0,1994,11,"Printed wrap, 20 x 27 cm, [title], 319 pgs, [eratta], pbhotograph plates and folding illustrations bound in text",,,,,"Serena, Augusto",Very good,Yes,,3/2/2019,5/30/2020,,,,,,0
4557,2163,"Wadstrom, Carl Bernhard",Ritningar,1780c,7,117,"Werner & Trollhatte canal, public works",6,,1,Library,Sweden,,0,177,14,"Full leather, 39 x 55 cm, gilt title on cover, manuscript drawings on paper, black and red ink with colour wash, 99 leaves (10 double, folded sheet; 18 double sheets; 14 single sheets; 5 small format single sheets, 12 small format double sheets), 3 looses sheets of notes under cover",,Kuhn,,,"Wadstrom, Carl Bernhard",Very good,Yes,,3/2/2019,5/30/2020,,,On shelf,,,0
4558,2164,"Dietlein, Johann Friedrich Wilhelm; Koppin, Ludwig Lebrecht; Roebling, John A.","Dietlein lecture notes. Strombau, deichbau, brucken-bau",1824,6,112,Civil engineer lecture notes,5,,1,Library,Berlin,,0,177,8,"Marbled paper on boards, 18.5 x 22 cm, 4 volumes, vol. 1: 222 pgs, 2 folding drawings; vol 2: 219 pgs, 1 folding drawing; vol 3: 269 pgs; vol 4: 45 pgs, 2 folding plates, 111 pgs, 9 folding plates",,Kuhn,Lectures attended by John Roebling,,"Dietlein, Johann Friedrich Wilhelm",Very good,Yes,,3/2/2019,5/30/2020,,,On shelf,,,0
